contract_id,asset_type,asset_value,interest_rate,monthly_payment,remaining_term_months,probability_of_default
ENP-2026-00001,Solar,22024.28,0.0524,185.83,240,0.0064
ENP-2026-00002,Heat Pump,37060.13,0.0663,271.3,240,0.0179
ENP-2026-00003,Solar,24450.71,0.0557,169.66,240,0.0301
ENP-2026-00004,Solar,26535.18,0.0517,199.34,240,0.0163
ENP-2026-00005,Solar,25627.45,0.0506,189.12,240,0.0436
ENP-2026-00006,Solar,24820.67,0.0469,216.28,240,0.0582
ENP-2026-00007,Solar,22112.15,0.0602,186.17,240,0.0106
ENP-2026-00008,Heat Pump,39963.44,0.0593,279.56,240,0.026
ENP-2026-00009,Solar,27704.08,0.0685,179.38,240,0.0565
ENP-2026-00010,Solar,26563.76,0.0541,191.03,240,0.0167
ENP-2026-00011,Solar,24190.41,0.0637,203.96,240,0.0343
ENP-2026-00012,Heat Pump,35134.41,0.061,274.46,240,0.0361
ENP-2026-00013,Heat Pump,34781.43,0.0726,264.76,240,0.0106
ENP-2026-00014,Solar,24410.84,0.064,179.64,240,0.0474
ENP-2026-00015,Solar,29419.71,0.0623,208.92,240,0.0159
ENP-2026-00016,Solar,28288.19,0.0513,190.17,240,0.0384
ENP-2026-00017,Solar,27061.84,0.054,165.79,240,0.0068
ENP-2026-00018,Solar,25395.93,0.0642,172.24,240,0.1056
ENP-2026-00019,Solar,23098.62,0.0643,137.75,240,0.0308
ENP-2026-00020,Solar,28851.25,0.0525,193.71,240,0.0638
ENP-2026-00021,Solar,22192.88,0.064,179.73,240,0.0221
ENP-2026-00022,Solar,24479.16,0.0599,182.65,240,0.0338
ENP-2026-00023,Solar,23586.59,0.0553,166.57,240,0.0122
ENP-2026-00024,Solar,25450.12,0.0583,168.31,240,0.0177
ENP-2026-00025,Solar,25301.2,0.0602,151.19,240,0.0321
ENP-2026-00026,Heat Pump,40430.91,0.0666,248.05,240,0.0525
ENP-2026-00027,Solar,25308.06,0.0651,178.13,240,0.0498
ENP-2026-00028,Solar,25706.01,0.0494,178.09,240,0.0053
ENP-2026-00029,Solar,23958.06,0.0613,177.79,240,0.0249
ENP-2026-00030,Solar,25497.67,0.0551,197.24,240,0.0779
ENP-2026-00031,Solar,23642.04,0.0472,166.34,240,0.0301
ENP-2026-00032,Solar,29646.53,0.0561,173.26,240,0.0635
ENP-2026-00033,Solar,22462.03,0.0571,165.94,240,0.0327
ENP-2026-00034,Heat Pump,34452.81,0.0731,251.5,240,0.0178
ENP-2026-00035,Heat Pump,32160.53,0.0661,256.38,240,0.0263
ENP-2026-00036,Heat Pump,37184.52,0.0611,264.6,240,0.008
ENP-2026-00037,Solar,23531.68,0.0577,156.28,240,0.0266
ENP-2026-00038,Solar,23240.07,0.0606,169.67,240,0.0323
ENP-2026-00039,Solar,24227.99,0.0525,183.05,240,0.0319
ENP-2026-00040,Solar,25077.4,0.0619,220.21,240,0.02
ENP-2026-00041,Solar,24772.82,0.054,176.27,240,0.0382
ENP-2026-00042,Solar,27322.42,0.0558,198.95,240,0.0039
ENP-2026-00043,Solar,24494.75,0.0585,179.89,240,0.0071
ENP-2026-00044,Heat Pump,37046.23,0.0676,239.75,240,0.0407
ENP-2026-00045,Solar,25182.25,0.0685,188.96,240,0.0139
ENP-2026-00046,Solar,25078.92,0.069,160.55,240,0.0249
ENP-2026-00047,Solar,24106.71,0.0556,169.33,240,0.0477
ENP-2026-00048,Solar,23633.53,0.0617,184.5,240,0.0235
ENP-2026-00049,Solar,25479.75,0.0514,183.76,240,0.0884
ENP-2026-00050,Solar,24051.94,0.0626,176.17,240,0.0304
ENP-2026-00051,Heat Pump,41557.19,0.0594,242.15,240,0.0216
ENP-2026-00052,Heat Pump,36291.7,0.0687,240.26,240,0.0696
ENP-2026-00053,Heat Pump,34478.38,0.0704,245.9,240,0.0059
ENP-2026-00054,Heat Pump,45194.38,0.0634,238.88,240,0.0043
ENP-2026-00055,Solar,27243.38,0.0591,175.15,240,0.041
ENP-2026-00056,Heat Pump,33347.94,0.0561,256.09,240,0.0491
ENP-2026-00057,Solar,22046.69,0.0633,172.02,240,0.017
ENP-2026-00058,Solar,22474.95,0.0537,197.03,240,0.014
ENP-2026-00059,Solar,22991.84,0.0627,182.27,240,0.0065
ENP-2026-00060,Solar,23434.49,0.062,212.86,240,0.0334
ENP-2026-00061,Solar,24625.55,0.0632,201.81,240,0.0157
ENP-2026-00062,Solar,23817.39,0.0548,176.02,240,0.0064
ENP-2026-00063,Heat Pump,37591.77,0.0681,256.25,240,0.0431
ENP-2026-00064,Solar,26476.39,0.0479,160.14,240,0.0476
ENP-2026-00065,Solar,24679.85,0.0568,180.85,240,0.0184
ENP-2026-00066,Solar,24770.34,0.0632,185.82,240,0.0141
ENP-2026-00067,Solar,25297.56,0.0571,181.31,240,0.0175
ENP-2026-00068,Heat Pump,42600.02,0.0635,266.32,240,0.0268
ENP-2026-00069,Solar,25857.52,0.0619,212.9,240,0.0558
ENP-2026-00070,Heat Pump,34644.98,0.0676,265.14,240,0.0078
ENP-2026-00071,Heat Pump,36705.93,0.0665,292.53,240,0.0353
ENP-2026-00072,Solar,21798.75,0.0571,176.91,240,0.0083
ENP-2026-00073,Solar,25203.58,0.0595,181.39,240,0.0305
ENP-2026-00074,Heat Pump,38568.25,0.0626,234.93,240,0.0313
ENP-2026-00075,Solar,23325.24,0.0625,193.88,240,0.0241
ENP-2026-00076,Solar,25364.21,0.0592,197.47,240,0.0364
ENP-2026-00077,Heat Pump,41156.22,0.0582,247.46,240,0.015
ENP-2026-00078,Solar,22350.17,0.0551,184.43,240,0.0219
ENP-2026-00079,Solar,25574.55,0.0627,171.03,240,0.0126
ENP-2026-00080,Solar,28320.85,0.0542,178.82,240,0.0121
ENP-2026-00081,Heat Pump,35472.9,0.0658,259.52,240,0.0416
ENP-2026-00082,Solar,24062.3,0.0589,167.23,240,0.0238
ENP-2026-00083,Solar,21488.99,0.0603,166.71,240,0.0121
ENP-2026-00084,Solar,22755.49,0.063,180.35,240,0.0083
ENP-2026-00085,Solar,25916.78,0.0525,194.83,240,0.025
ENP-2026-00086,Solar,27586.36,0.0576,203.06,240,0.0158
ENP-2026-00087,Solar,25305.05,0.0502,213.21,240,0.0071
ENP-2026-00088,Solar,27166.1,0.0676,160.13,240,0.0597
ENP-2026-00089,Heat Pump,36713.42,0.0621,285.33,240,0.0074
ENP-2026-00090,Solar,23533.99,0.0607,198.14,240,0.0032
ENP-2026-00091,Solar,28790.3,0.0567,159.41,240,0.0159
ENP-2026-00092,Solar,26318.68,0.058,188.77,240,0.0251
ENP-2026-00093,Heat Pump,32217.88,0.0702,247.31,240,0.0477
ENP-2026-00094,Solar,24644.75,0.0493,164.17,240,0.0176
ENP-2026-00095,Heat Pump,32354.12,0.0592,269.6,240,0.0573
ENP-2026-00096,Solar,25639.62,0.0612,205.46,240,0.0258
ENP-2026-00097,Solar,23632.3,0.058,180.91,240,0.0877
ENP-2026-00098,Solar,25278.08,0.0514,168.87,240,0.0331
ENP-2026-00099,Solar,24295.09,0.0687,178.59,240,0.0539
ENP-2026-00100,Solar,24214.5,0.0626,183.13,240,0.0015
ENP-2026-00101,Solar,25891.68,0.0494,169.19,240,0.0277
ENP-2026-00102,Solar,25258.74,0.0581,165.2,240,0.0017
ENP-2026-00103,Solar,21761.65,0.0611,176.01,240,0.0408
ENP-2026-00104,Solar,25203.12,0.0545,176.86,240,0.0739
ENP-2026-00105,Heat Pump,34712.0,0.0642,251.27,240,0.0481
ENP-2026-00106,Solar,24377.56,0.0709,186.29,240,0.028
ENP-2026-00107,Solar,19982.09,0.0542,173.11,240,0.0432
ENP-2026-00108,Heat Pump,36728.9,0.065,240.44,240,0.0049
ENP-2026-00109,Solar,23419.97,0.0615,175.74,240,0.0606
ENP-2026-00110,Solar,23914.26,0.0514,175.67,240,0.0454
ENP-2026-00111,Solar,27549.37,0.0523,187.64,240,0.0153
ENP-2026-00112,Solar,27105.54,0.0637,182.77,240,0.0426
ENP-2026-00113,Heat Pump,35740.72,0.0605,238.23,240,0.0268
ENP-2026-00114,Heat Pump,37515.65,0.0653,262.53,240,0.0973
ENP-2026-00115,Solar,24350.28,0.0623,165.27,240,0.0107
ENP-2026-00116,Heat Pump,38821.12,0.0647,283.87,240,0.015
ENP-2026-00117,Heat Pump,36270.52,0.0586,237.52,240,0.027
ENP-2026-00118,Solar,24728.22,0.0624,184.91,240,0.0066
ENP-2026-00119,Heat Pump,36531.61,0.0658,270.61,240,0.0419
ENP-2026-00120,Solar,22712.23,0.0575,162.29,240,0.0643
ENP-2026-00121,Heat Pump,30670.4,0.0676,294.89,240,0.043
ENP-2026-00122,Heat Pump,39247.63,0.0646,250.95,240,0.0091
ENP-2026-00123,Solar,27215.44,0.0608,189.66,240,0.0214
ENP-2026-00124,Solar,26641.96,0.0594,184.8,240,0.023
ENP-2026-00125,Solar,25826.29,0.0568,173.23,240,0.0368
ENP-2026-00126,Solar,26644.86,0.059,176.41,240,0.0725
ENP-2026-00127,Heat Pump,35393.36,0.0685,301.02,240,0.0145
ENP-2026-00128,Heat Pump,28866.33,0.0685,270.81,240,0.0378
ENP-2026-00129,Solar,24005.37,0.0595,182.45,240,0.0434
ENP-2026-00130,Solar,27752.67,0.0577,173.17,240,0.0421
ENP-2026-00131,Solar,24249.78,0.0658,168.18,240,0.0308
ENP-2026-00132,Solar,26028.95,0.0638,177.43,240,0.0106
ENP-2026-00133,Solar,22592.17,0.0591,189.44,240,0.0202
ENP-2026-00134,Solar,29050.18,0.0583,175.86,240,0.013
ENP-2026-00135,Heat Pump,38768.59,0.0698,243.68,240,0.0101
ENP-2026-00136,Solar,27295.13,0.0537,179.55,240,0.0278
ENP-2026-00137,Solar,25169.73,0.0614,184.69,240,0.0173
ENP-2026-00138,Solar,26726.18,0.0593,170.27,240,0.0536
ENP-2026-00139,Solar,26032.79,0.0518,174.26,240,0.015
ENP-2026-00140,Heat Pump,28838.85,0.0628,233.01,240,0.0479
ENP-2026-00141,Heat Pump,32879.99,0.0679,258.6,240,0.0155
ENP-2026-00142,Solar,27530.31,0.0555,190.04,240,0.0743
ENP-2026-00143,Solar,24699.06,0.0547,183.12,240,0.0184
ENP-2026-00144,Solar,23708.9,0.0559,155.14,240,0.025
ENP-2026-00145,Solar,25089.1,0.0512,195.87,240,0.0303
ENP-2026-00146,Solar,23472.65,0.0566,161.63,240,0.0387
ENP-2026-00147,Solar,26962.3,0.0561,206.07,240,0.0331
ENP-2026-00148,Solar,26352.21,0.0577,176.05,240,0.0167
ENP-2026-00149,Solar,22753.61,0.0682,187.96,240,0.0332
ENP-2026-00150,Solar,24080.2,0.0531,182.4,240,0.02
ENP-2026-00151,Heat Pump,36694.33,0.0677,242.41,240,0.0141
ENP-2026-00152,Solar,21099.18,0.0494,192.39,240,0.056
ENP-2026-00153,Solar,22824.5,0.0574,163.22,240,0.034
ENP-2026-00154,Solar,22234.21,0.0562,182.65,240,0.0294
ENP-2026-00155,Heat Pump,32034.41,0.074,269.53,240,0.0289
ENP-2026-00156,Solar,25862.92,0.0573,185.21,240,0.0105
ENP-2026-00157,Solar,24601.87,0.0589,184.99,240,0.0494
ENP-2026-00158,Heat Pump,36911.16,0.0639,281.02,240,0.0092
ENP-2026-00159,Solar,25920.83,0.0573,183.85,240,0.0152
ENP-2026-00160,Solar,25843.87,0.0607,202.39,240,0.0129
ENP-2026-00161,Solar,26634.93,0.0534,184.61,240,0.0194
